kepid,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss
7211221,Kepler-831 b,CONFIRMED,0,0
11356260,Kepler-851 b,CONFIRMED,0,0
11600889,Kepler-407 b,CONFIRMED,0,0
11043167,Kepler-852 b,CONFIRMED,0,0
8612847,Kepler-800 b,CONFIRMED,0,0
8547140,Kepler-801 b,CONFIRMED,0,0
4072526,Kepler-819 b,CONFIRMED,0,0
4455231,Kepler-288 c,CONFIRMED,0,0
9527915,Kepler-478 b,CONFIRMED,0,0
11336883,Kepler-853 b,CONFIRMED,0,0
8564587,Kepler-57 b,CONFIRMED,0,0
10925104,Kepler-114 d,CONFIRMED,0,0
8564587,Kepler-57 c,CONFIRMED,0,0
8806072,Kepler-802 b,CONFIRMED,0,0
4455231,Kepler-288 b,CONFIRMED,0,0
4455231,Kepler-288 d,CONFIRMED,0,0
8972058,Kepler-115 c,CONFIRMED,0,0
7832356,Kepler-855 b,CONFIRMED,0,0
9643874,Kepler-856 b,CONFIRMED,0,0
8800954,Kepler-421 b,CONFIRMED,0,0
8583696,Kepler-803 b,CONFIRMED,0,0
4155328,Kepler-820 b,CONFIRMED,0,0
4077526,Kepler-58 b,CONFIRMED,0,0
4077526,Kepler-58 c,CONFIRMED,0,0
4077526,Kepler-58 d,CONFIRMED,0,0
8935810,Kepler-1747 b,CONFIRMED,0,0
2441495,Kepler-479 b,CONFIRMED,0,0
9455556,Kepler-294 c,CONFIRMED,0,0
9455556,Kepler-294 b,CONFIRMED,0,0
3732821,Kepler-790 b,CONFIRMED,0,0
3962357,Kepler-791 b,CONFIRMED,0,0
8394721,Kepler-79 e,CONFIRMED,0,0
8609450,Kepler-282 d,CONFIRMED,0,0
6541920,Kepler-11 c,CONFIRMED,0,0
8609450,Kepler-282 e,CONFIRMED,0,0
8609450,Kepler-282 b,CONFIRMED,0,0
8609450,Kepler-282 c,CONFIRMED,0,0
4243911,Kepler-821 b,CONFIRMED,0,0
4466677,Kepler-822 b,CONFIRMED,0,0
4135665,Kepler-823 b,CONFIRMED,0,0
9269281,Kepler-1748 b,CONFIRMED,0,0
9034103,Kepler-832 b,CONFIRMED,0,0
9214942,Kepler-833 b,CONFIRMED,0,0
3749134,Kepler-792 b,CONFIRMED,0,0
3660924,Kepler-793 b,CONFIRMED,0,0
3939150,Kepler-277 b,CONFIRMED,0,0
8628758,Kepler-804 b,CONFIRMED,0,0
8628758,Kepler-804 c,CONFIRMED,0,0
8742590,Kepler-1742 b,CONFIRMED,0,0
8822366,Kepler-805 b,CONFIRMED,0,0
8972058,Kepler-115 b,CONFIRMED,0,0
4650674,Kepler-824 b,CONFIRMED,0,0
4275721,Kepler-825 b,CONFIRMED,0,0
4275721,Kepler-825 c,CONFIRMED,0,0
8874090,Kepler-834 b,CONFIRMED,0,0
11666881,Kepler-480 b,CONFIRMED,0,0
9264949,Kepler-835 b,CONFIRMED,0,0
9271752,Kepler-836 b,CONFIRMED,0,0
9150827,Kepler-1749 b,CONFIRMED,0,0
3939150,Kepler-277 c,CONFIRMED,0,0
3839488,Kepler-794 b,CONFIRMED,0,0
3442055,Kepler-795 b,CONFIRMED,0,0
12252424,Kepler-113 c,CONFIRMED,0,0
8700771,Kepler-806 b,CONFIRMED,0,0
6541920,Kepler-11 d,CONFIRMED,0,0
4136466,Kepler-826 b,CONFIRMED,0,0
9391208,Kepler-837 b,CONFIRMED,0,0
9391506,Kepler-838 b,CONFIRMED,0,0
8950853,Kepler-839 b,CONFIRMED,0,0
9006449,Kepler-295 b,CONFIRMED,0,0
9006449,Kepler-295 c,CONFIRMED,0,0
9006449,Kepler-295 d,CONFIRMED,0,0
4043190,Kepler-796 b,CONFIRMED,0,0
3640905,Kepler-278 b,CONFIRMED,0,0
3640905,Kepler-278 c,CONFIRMED,0,0
10790387,Kepler-807 b,CONFIRMED,0,0
7303287,Kepler-289 c,CONFIRMED,0,0
7303287,Kepler-289 b,CONFIRMED,0,0
11512246,Kepler-23 c,CONFIRMED,0,0
11517719,Kepler-840 b,CONFIRMED,0,1
