kepid,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_model_snr,koi_num_transits
3869014,Kepler-789 b,CONFIRMED,0,0,38.60,124
1871056,Kepler-264 c,CONFIRMED,0,0,29.00,9
1865042,Kepler-746 b,CONFIRMED,0,0,23.40,387
5780460,Kepler-747 b,CONFIRMED,0,0,155.00,34
8229696,Kepler-761 b,CONFIRMED,0,0,38.00,125
10272640,Kepler-762 b,CONFIRMED,0,0,100.80,305
8346392,Kepler-777 b,CONFIRMED,0,0,20.80,236
8288947,Kepler-778 b,CONFIRMED,0,0,27.90,354
9480189,Kepler-257 c,CONFIRMED,0,0,116.20,166
11974540,Kepler-470 b,CONFIRMED,0,1,603.00,54
9480189,Kepler-257 b,CONFIRMED,0,0,45.50,421
9480189,Kepler-257 d,CONFIRMED,0,0,56.70,43
9512687,Kepler-735 b,CONFIRMED,0,0,53.20,115
8644288,Kepler-18 c,CONFIRMED,0,0,437.50,175
1725016,Kepler-748 b,CONFIRMED,0,0,23.10,151
5446285,Kepler-88 b,CONFIRMED,0,0,302.20,
10166274,Kepler-267 b,CONFIRMED,0,0,47.80,320
10166274,Kepler-267 c,CONFIRMED,0,0,39.60,149
10166274,Kepler-267 d,CONFIRMED,0,0,28.90,36
5735762,Kepler-48 d,CONFIRMED,0,0,66.80,30
8351704,Kepler-779 b,CONFIRMED,0,0,18.30,193
9513865,Kepler-736 b,CONFIRMED,0,0,50.70,370
9605514,Kepler-1666 b,CONFIRMED,0,0,27.30,42
9605514,Kepler-1666 c,CONFIRMED,0,0,28.90,25
8125580,Kepler-749 b,CONFIRMED,0,0,35.90,77
8158127,Kepler-750 b,CONFIRMED,0,0,50.40,75
10141900,Kepler-763 b,CONFIRMED,0,0,16.50,1071
8410727,Kepler-270 b,CONFIRMED,0,0,27.70,120
8410727,Kepler-270 c,CONFIRMED,0,0,14.30,55
8278371,Kepler-780 b,CONFIRMED,0,0,38.70,1977
8280511,Kepler-271 b,CONFIRMED,0,0,36.70,127
8280511,Kepler-271 c,CONFIRMED,0,0,25.60,178
9710326,Kepler-737 b,CONFIRMED,0,0,53.80,44
9761882,Kepler-738 b,CONFIRMED,0,0,35.60,55
9766437,Kepler-739 b,CONFIRMED,0,0,66.70,109
9775938,Kepler-258 b,CONFIRMED,0,0,116.20,103
8644288,Kepler-18 d,CONFIRMED,0,0,456.80,93
8158127,Kepler-750 c,CONFIRMED,0,0,19.00,162
8174625,Kepler-751 b,CONFIRMED,0,0,46.00,75
10157458,Kepler-764 b,CONFIRMED,0,0,21.60,140
10118816,Kepler-1735 b,CONFIRMED,0,0,12.60,180
10122255,Kepler-765 b,CONFIRMED,0,0,36.10,49
3835670,Kepler-473 b,CONFIRMED,0,0,200.00,95
9775938,Kepler-258 c,CONFIRMED,0,0,41.90,38
9787239,Kepler-32 b,CONFIRMED,0,0,56.60,176
9787239,Kepler-32 c,CONFIRMED,0,0,44.80,121
9787239,Kepler-32 d,CONFIRMED,0,0,46.40,47
9787239,Kepler-32 e,CONFIRMED,0,0,28.60,345
9787239,Kepler-32 f,CONFIRMED,0,0,45.30,1202
2716853,Kepler-752 b,CONFIRMED,0,0,29.50,74
2715135,Kepler-753 b,CONFIRMED,0,0,51.70,231
8644288,Kepler-18 b,CONFIRMED,0,0,67.50,355
3247268,Kepler-418 b,CONFIRMED,0,0,318.30,13
3247268,Kepler-418 c,CONFIRMED,0,0,90.10,84
10354039,Kepler-1737 b,CONFIRMED,0,0,61.90,16
10330115,Kepler-781 b,CONFIRMED,0,0,38.00,98
10426656,Kepler-272 c,CONFIRMED,0,0,35.10,180
9820483,Kepler-740 b,CONFIRMED,0,0,166.30,366
9941662,Kepler-13 b,CONFIRMED,0,1,4061.90,761
7778437,Kepler-471 b,CONFIRMED,0,0,794.30,266
9823457,Kepler-259 b,CONFIRMED,0,0,59.10,164
9823457,Kepler-259 c,CONFIRMED,0,0,39.30,37
2164169,Kepler-1732 b,CONFIRMED,0,0,33.60,43
2574338,Kepler-1733 b,CONFIRMED,0,0,19.30,142
2584163,Kepler-754 b,CONFIRMED,0,0,15.60,94
4180280,Kepler-472 b,CONFIRMED,0,0,249.70,259
2721030,Kepler-766 b,CONFIRMED,0,0,43.20,222
7626506,Kepler-112 b,CONFIRMED,0,0,147.20,162
10426656,Kepler-272 d,CONFIRMED,0,0,24.60,88
10426656,Kepler-272 b,CONFIRMED,0,0,25.60,328
10528068,Kepler-782 b,CONFIRMED,0,0,97.40,9
10468940,Kepler-273 b,CONFIRMED,0,0,34.70,452
9825625,Kepler-741 b,CONFIRMED,0,0,54.30,189
9875711,Kepler-742 b,CONFIRMED,0,0,120.90,159
1026957,Kepler-1731 b,CONFIRMED,0,0,60.00,62
2853093,Kepler-767 b,CONFIRMED,0,0,54.70,9
3245969,Kepler-768 b,CONFIRMED,0,0,10.50,94
3231341,Kepler-24 c,CONFIRMED,0,0,31.70,112
10468940,Kepler-273 c,CONFIRMED,0,0,28.60,159
10337517,Kepler-783 c,CONFIRMED,0,0,56.30,190
10337517,Kepler-783 b,CONFIRMED,0,0,11.40,302
10351231,Kepler-1738 b,CONFIRMED,0,0,20.80,140
8561063,Kepler-42 b,CONFIRMED,0,0,111.40,1100
8561063,Kepler-42 c,CONFIRMED,0,0,150.40,1193
8561063,Kepler-42 d,CONFIRMED,0,0,56.90,633
7102227,Kepler-290 c,CONFIRMED,0,0,40.80,37
7102227,Kepler-290 b,CONFIRMED,0,0,29.30,94
6960913,Kepler-61 b,CONFIRMED,0,0,51.80,25
11122894,Kepler-297 c,CONFIRMED,0,0,161.50,14
11129738,Kepler-844 b,CONFIRMED,0,0,31.10,408
11401182,Kepler-845 b,CONFIRMED,0,0,99.80,1438
11030711,Kepler-1750 b,CONFIRMED,0,0,49.40,6
11512246,Kepler-23 b,CONFIRMED,0,0,33.80,170
6690082,Kepler-280 b,CONFIRMED,0,0,48.90,625
6690082,Kepler-280 c,CONFIRMED,0,0,32.90,243
6448890,Kepler-56 c,CONFIRMED,0,0,60.90,64
6448890,Kepler-56 b,CONFIRMED,0,0,45.30,126
10730034,Kepler-285 b,CONFIRMED,0,0,23.30,506
10730034,Kepler-285 c,CONFIRMED,0,0,14.30,202
10858691,Kepler-286 b,CONFIRMED,0,0,22.10,749
10858691,Kepler-286 c,CONFIRMED,0,0,20.60,353
10858691,Kepler-286 d,CONFIRMED,0,0,17.40,190
8107380,Kepler-476 b,CONFIRMED,0,0,109.30,96
6936909,Kepler-291 b,CONFIRMED,0,0,26.40,374
6936909,Kepler-291 c,CONFIRMED,0,0,15.20,221
6962977,Kepler-292 f,CONFIRMED,0,0,26.20,54
